"","gendered_words"
"5134","Schulfahrtkosten; Schulwegkosten; Exkurskosten; Fahrtkosten"
"5135","Schulkameradschaft; Freundschaftsperson in der Schule"
"5136","Schulkind am Gymnasium;Gymnasiast*innen"
"5137","Schulkind an Gesamtschule;Gesamtschüler*innen"
"5138","Schulkind der 1. Klasse (Österreich)"
"5139","Schulkind der 6. Klasse"
"5140","Schulkind in der ersten Klasse;Erstklässler*innen"
"5141","Schulkind in der zweiten Klasse;Zweitklässler*innen"
"5142","Schulkind; Klassenmitglied; lernende Person"
"5143","Schulkinder; Kinder; Jugendliche; die Klasse; Lernende; Beschulte; Klassenmitglieder; Mädchen und Jungen; Schülerschaft; Schülis"
"5144","Schulkindervertretung; Vertretung der Lernenden; Schülerschaftsvertretung  weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"5145","Schullabor"
"5146","Schulleiter*in; Schulleitende Person"
"5147","Schulleitung"
"5148","Schulpraktikum; Praktikum in der Schulzeit"
"5149","Schultheiß*innen; eines Ortes vorstehende Person"
"5150","Schulträgerschaft"
"5151","Schulung für Erkrankte"
"5152","Schulung; Schulung der Belegschaft; MA-Schulung; Schulung der Mitarbeitenden"
"5153","Schulungsleiter*in; Schulungsleitende Person"
"5154","Schulungsleitung"
"5155","Schusterwerkstatt; Schusterei"
"5156","Schutzgeheiligte Person"
"5157","Schutzpatron*in; heilige Person der kath. Kirche"
"5158","Schwangere"
"5159","schwärmerische Person; gefühlsbetonte Person"
"5160","Schwarzfahrer*innen;schwarzfahrende Person; Person, die ohne Führerschein/Fahrkarte fährt"
"5161","schwätzende Person; Stammtischreden haltende Person;Kannegießer*in"
"5162","schwätzende Person; viel redende Person;Schwätzer*innen"
"5163","Schweine hütende Person"
"5164","Schweine züchtende Person;Schweinezüchter*innen"
"5165","Schweinfurter*innen; Person aus Schweinfurt; in Schweinfurt lebende/wohnende Person"
"5166","Schweizer*innen; Person aus der Schweiz; in der Schweiz lebende/wohnende Person"
"5167","Schweizerbürger*innen"
"5168","schwer arbeitende Person;Malocher*innen"
"5169","Schweriner*innen; Person aus Schwerin; in Schwerin lebende/wohnende Person"
"5170","Schwiegerelternteil"
"5171","Schwiegerelternteil; Schwäher*innen"
"5172","schwimmen lehrende Person;Schwimmlehrer*innen"
"5173","schwimmende Person; Mensch mit Spaß am Schwimmen"
"5174","schwimmende Person;Schwimmer*innen"
"5175","Schwimmlehrkraft"
"5176","schwindelnde Person; Person die Wissen und Fähigkeiten vortäuscht; Scharlatan*innen"
"5177","Scout; Pfadi  weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"5178","Seeleute"
"5179","seelsorgerisch tätige Person;tätige Person in der Kirche; Pfarrperson; Gottesdienst leitende Person; Pfarrer*innen"
"5180","seelsorgerischen Dienst verrichtende Person"
"5181","seeräuberische Person;  Freibeuterei betreibende Person;Freibeuter*innen"
"5182","Segelflugzeug fliegende Person"
"5183","segelnde Person; Person im Segelsport"
"5184","segelnde Person;Segler*innen"
"5185","sehr erfolgreiche Person; Heldentat;Held*innen"
"5186","sehr frühe Vorfahren der Person;Ururahn*in"
"5187","sehr schwer arbeitende Person;Schwerstarbeiter*in; Schwerstarbeiter_in; Schwerstarbeiter/in"
"5188","sehr sparsamer Mensch; geiziger Mensch; Pfennigfuchser*innen"
"5189","Seife handwerklich herstellende Person;Seifensieder*in"
"5190","Seile herstellende Handwerkskraft;Seiler*innen"
"5191","Seiltanzende Person"
"5192","sein Auto über Nacht an Straße parkende Person;Laternenparker*in; Laternenparker_in; Laternenparker/in"
"5193","seit Studium befreundete Person; im Studium befreundete Person"
"5194","Seiteneinstiegslehrgang"
"5195","Seiteneinstiegsprogramm"
"5196","Selbstdarsteller*innen"
"5197","selbstständig arbeitende Person"
"5198","Selbstständige; Wirtschaftstreibende; Geschäftsleute; Gewerbe Betreibende"
"5199","Sellentröster*in; Seelentröstende Person; psychischen/seelischen Beistand leistende Person"
"5200","Semifinalist*in"
"5201","Seminarleitung"
"5202","Semiotiker*in; wissenschaftliche Person der Semiotik; Fachkraft für Zeichensysteme"
"5203","Sende-Empfang-Problem"
"5204","Sendende"
"5205","Service"
"5206","Service; Service-Profi; Servicefachkraft"
"5207","Service; Support"
"5208","Servicekraft; Bedienung"
"5209","Servicekraft; Raumpflege; Reinigungskraft"
"5210","serviceorientiert; bedürfnisorientiert; publikumsorientiert; menschenorientiert; im Kontakt"
"5211","Servicezentrum"
"5212","Sexexpertenperson"
"5213","Sexgottheit"
"5214","sexistische Person"
"5215","sexuell unerfahrene Person; Person, die noch keinen Geschlechtsverkehr hatte"
"5216","Sezession anhängende Person;Sezessionist*in"
"5217","Shops; der Handel; Handelnde"
"5218","Showleitung; Showmoderation; moderierende Person"
"5219","sich an Kleinigkeiten stoßende Person,die das Große übersieht;Beckmesser*innen"
"5220","sich auf Diplomprüfung vorbereitende Person;Diplomand*innen"
"5221","sich beruflich mit Sprachstörungen befassende Person;Fachkraft/Qualifizierte der Logopädie"
"5222","sich bewerbende Person"
"5223","sich der Bezahlung entziehender Mensch;Zechprellende Person;Zechpreller*innen"
"5224","sich dilettantisch verhaltende Person;Dilettant*innen; dilettantische Person"
"5225","sich duellierende Person"
"5226","sich durch hohe Spesen persönliche Vorteile verschaffende Person;Spesenritter*in"
"5227","sich eine Existenz gründende Person"
"5228","sich einer psychoanalytischen Behandlung unterziehende Person;Analysand*in"
"5229","sich fremd fühlende Person; Person, die ihrer Umgebung fremd vorkommt"
"5230","sich für Beamtenanwartschaft bewerbende Person; Praxisjahr nach Pharmazirstudium absolvierende Person"
"5231","sich für oder gegen etwas eintretende Person; mitkämpfende Person;Mitstreiter*innen"
"5232","sich im Arrest befindliche Person;Arrestant*innen"
"5233","sich im Freistilringen betätigende Person"
"5234","sich im gelockerten Strafvollzug befindliche Person;Freigänger*innen"
"5235","sich im Ruhestand befindende Person"
"5236","sich im Stadium der Genesung befindender Mensch;Rekonvaleszent*innen"
"5237","sich im Urlaub befindende Person;Urlauber*innen"
"5238","sich in Streitigkeiten einmischende Person;Intervenient*innen"
"5239","sich kümmernde Person"
"5240","sich leidenschaftlich begeisternde Person"
"5241","sich mit Altgriechischem befassende Person; sich mit altgriechischer Kultur befassende Person;Gräzist*innen"
"5242","sich mit Augenheilkunde befassende, ärztlich tätige Person;Orthopist*innen"
"5243","sich mit der Physiognomie wissenschaftlich beschäftigende Person"
"5244","sich mit Klimaforschung befassende Person;Klimaforscher*innen"
"5245","sich mit Kosmologie befassende Person"
"5246","sich mit Numismatik beschäftigende Person"
"5247","sich mit theoretischen Grundlagen wissenschaftlich auseinandersetzende Person;Theoretiker*innen"
"5248","sich mit Wirtschaftsforschung befassende Person;Wirtschaftsforscher*in; Wirtschaftsforscher_in; Wirtschaftsforscher/in"
"5249","sich mit XY sparrende Person"
"5250","sich selbst befriedigende Person; Onanist*innen"
"5251","sich selbst darstellende Person"
"5252","sich selbst tötende Person;Selbstmörder*innen"
"5253","sich um Asyl bewerbende Person"
"5254","sich um einen Auftrag bewerbende Person;Submittent*innen"
"5255","sich um etwas bewerbende Person; sich um Jemanden bewerbende Person;Bewerber*innen"
"5256","sich um preisgünstige Angebote bemühende Person"
"5257","sich unnötig beschwerende, starrköpfige Person;Querulant*innen"
"5258","sich wissenschaftlich mit deutscher Sprache befassende Person;Germanist*innen"
"5259","sich wissenschaftlich mit Ergonomie beschäftigende Person;Ergonom*in"
"5260","sich wissenschaftlich mit Myrmekologie befassende Person"
"5261","sich wissenschaftlich mit Phonologie befassende Person;Fachkraft/Qualifizierte der Phonologie"
"5262","sich wissenschaftlich mit Texten befassende Person"
"5263","sich zur Sommerfrische an einem Ort befindliche Person"
"5264","Sie; viele; wir; ich"
"5265","siegende Person in Wimbldon"
"5266","siegende Person; siegreiche Person;Sieger*innen"
"5267","siehe FAQ (klick)"
"5268","Silbermedaille gewinnende Person"
"5269","simultan übersetzende Person"
"5270","singende Person; Musik und Text schreibende Person; Liedermacher*innen"
"5271","sinkende Nachfrage; Rückgang der Besuche; … wurde weniger frequentiert als im Jahr zuvor …"
"5272","sittenstrenge Person; dem Puritanismus anhängende Person"
"5273","Sitzungen des Landtages leitende Person;Landestagspräsident*in; Landestagspräsident_in; Landestagspräsident/in"
"5274","Skandinavier*innen; Person aus Skandinavien; in Skandinavien lebende/wohnende Person"
"5275","skatspielende Person;Skatspieler*in"
"5276","skeptische Person"
"5277","Ski fahrende Person;Skifahrer*innen"
"5278","Ski laufende, fahrende Person;Skiläufer*in"
"5279","Skifahren lehrende Person;Skilehrer*innen"
"5280","skispringende Person;Skispringer*innen"
"5281","Sklaventreiber*innen"
"5282","Sklaverei Ausführende"
"5283","Slalom laufende Person; Slalom fahrende Person"
"5284","Snowboard fahrende Person"
"5285","Snowboard fahrende Person;Snowboardfahrer*in"
"5286","Software entwickelnde Person"
"5287","Software entwickelnde Person; im Bereich Softwareentwicklung arbeitende Person;Softwareentwickler*innen"
"5288","Software testende Person;Softwaretester*in; Softwaretester_in; Softwaretester/in"
"5289","Softwareerstellende; Programmierende"
"5290","Soldat*innen"
"5291","soldatische Person, die als Wache eingesetzt ist"
"5292","Solinger*innen; Person aus Solingen; in Solingen lebende/wohnende Person"
"5293","Solopart"
"5294","Sonderbeitrag"
"5295","Sonderwunsch"
"5296","Sondierer*in; Person, die eine Lage erkundet"
"5297","Sonnengottheit"
"5298","Sonnenschein"
"5299","Sonntagsausflug unternehmende Person"
"5300","Sonntagsschullehrer*in; Lehrende der Sonntagsschule; Lehrende an einer Sonntagsschule"
"5301","Sopran singende Person;Sopranist*innen"
"5302","Sowjetbürger*innen"
"5303","Sozialarbeitende; Fachkräfte der Sozialen Arbeit"
"5304","Sozialarbeiter*in; Sozialarbeiter_in; Sozialarbeiter/in; Fachkraft/Qualifizierte der Sozialarbeit"
"5305","sozialisitsche Personen; sozialistisch eingestellte Personen"
"5306","Sozialleistungstragende"
"5307","sozialpädagogische Fachkraft"
"5308","Sozinianer*innen; des Sozinianismus anhängende Person"
"5309","Soziologieprofessor*in; Soziologieprofessor_in; Soziologieprofessor/in"
"5310","Spanier*innen"
"5311","Spanisch lehrende Person;Spanischlehrer*innen"
"5312","sparende Person"
"5313","Sparenden"
"5314","Spargel stechende Person"
"5315","Sparkassenbeamter und Sparkassenbeamtin; Beamte Person der Sparkasse"
"5316","Spaßbremse"
"5317","spaßmachende Person"
"5318","spaßmachende Person im Zirkus;Clown*innen"
"5319","spazieren gehende Person"
"5320","SPD-vorstehende Person;SPD-Chef*innen"
"5321","Speerwerfende Person;Speerwerfer*innen"
"5322","Spekulant*innen;spekulierende Person"
"5323","spekulierende Person"
"5324","spekulierende Person; gewinnorientiert Geschäfte machende Person;Geschäftemacher*in"
"5325","Spengler*innen;siehe Klempner im Klempnerhandwerk arbeitende Person; Fachkraft/Qualifzierte/ im Klempnerhandwerk"
"5326","Spieleautor*innen"
"5327","Spielende; Teammitglieder"
"5328","Spieler*innen; spielende Person; Person, welche ein Spiel spielt"
"5329","Spielforscher*innen"
"5330","Spielführende Person; Schiffs-oder Flugzeugführende Person;Kapitän*innen"
"5331","Spielleitung; schiedsrichtende Person; schiedsrichtendes Gremium; Schiedsgericht"
"5332","Spielleitung; Spielmoderation"
"5333","Spielpädagogische Person"
"5334","spielregelkontrollierende Person; spielregelleitende Person; Schiedsrichter*innen"
"5335","Spielverderbende Person; Spaßbremse"
"5336","spießbürgerliche Person; kleinbürgerliche Person"
"5337","Spießer*innen;spießbürgerliche Person"
"5338","spinnende Person; verrückte Person;Spinner*innen"
"5339","Spionagefilm"
"5340","Spionagethriller"
"5341","spirituelles Vorbild / Idol"
"5342","spitzbübische Person"
"5343","Spitze des Diplomatischen Corps; Repräsentanz"
"5344","Spitzenvertretung"
"5345","Sponsoring; geldgebende Personen/Firmen; unterstützende Personen/Firmen; Sponsoringkreis; Sponsoringbeteiligte"
"5346","Sport kommentierende Person;Sportkommentator*in"
"5347","Sport lehrende Person; Sport unterrichtende Person;Sportlehrer*innen"
"5348","Sport studierende Person;Sportstudent*in"
"5349","Sportjournalist*in; Sportjournalist_in; Sportjournalist/in"
"5350","Sportler*innen;Sportartbetreibende Person; sporttreibende Person"
"5351","sportliche/technische/praktische Anleitung; anleitende Person"
"5352","Sportprofessor*in"
"5353","Sporttherapeut*in; Sporttherapeut_in; Sporttherapeut/in"
"5354","sporttreibende Person;  weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"5355","sporttreibende Person; sportlich aktiver Mensch; Aktivmensch; Fitmensch  weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"5356","Sporttreibende; sportlich Aktive;  weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"5357","Sporttreibende; Wettkämpfende;  weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"5358","Sportwissenschaftler*innen; Fachkraft/Qualifizierte der Sportwissenschaft"
"5359","Sprach- und Literaturwissenschaftliche Person; Literaturwissenschaftliche Fachkraft"
"5360","Sprache unterrichtende Person;Sprachlehrer*innen"
"5361","Sprachforschung betreibende Person;Sprachforscher*innen"
"5362","Sprachhistoriker*innen"
"5363","Sprachlernende; Spracherlernende"
"5364","Sprachphilosoph*innen; Fachkraft/Qualifizierte der Sprachphilosophie"
"5365","Sprachrohr; Pressestelle; Öffentlichkeitsarbeit"
"5366","sprachteilhabende Person;Sprachteilnehmer*in"
"5367","Sprachwissenschaft betreibende Person; die menschliche Sprache untersuchende Person;Linguist*innen"
"5368","Sprachwissenschaft betreibende Person;Sprachwissenschaftler*innen"
"5369","sprayende Person"
"5370","Sprechende; Sprachbenutzende"
"5371","Spreewälder*innen; Person aus dem Spreewald; im Spreewald lebende/wohnende Person"
"5372","sprengbefugte Person"
"5373","sprengberechtigte Person"
"5374","Sprengkandidat*in; Gegenkandidierende Person, bei der gewöhnlich nur eine Person kandidiert"
"5375","Sprichwort (er)forschende Person; Fachkraft/Spezialisierte/Qualifizierte der Parömie/Parömiologie"
"5376","Sprichwortforscher*innen;  Sprichwort (er)forschende Person; Fachkraft/Spezialisierte/Qualifizierte der Parömie/Parömiologie"
"5377","Springreitende Person;Springreiter*innen"
"5378","Sprinter*innen;auf Kurzsteckenlauf spezialisierte Person; schnelllaufende Person; sprintende Person"
"5379","Spritzer*innen"
"5380","Squash spielende Person;Squashspieler*in"
"5381","staatenlose Person"
"5382","Staatsangehörige Person; Staatsangehörigkeit"
"5383","Staatsangehörigkeit; Nationalität"
"5384","staatsfeindliche Bestrebungen verfolgende Person bei Geheimpolizei"
"5385","staatsfeindliche Person;Staatsfeind*innen"
"5386","Staatsoberhaupt"
"5387","Staatsoberhaupt; die Macht innehabende Person;Herrscher*innen"
"5388","Staatsoberhaupt; Regierung anführende Person"
"5389","Staatsoberhaupt; Vorsitz"
"5390","Staatspräsident*innen"
"5391","Stabhochspringer*innen;Stabhochspringende Person; Person, die Stabhochsprung/Leichtathletik ausübt"
"5392","Stabsoffizier*innen"
"5393","Stabsunteroffizier*innen"
"5394","Stadt planende Person;Stadtplaner*in; Stadtplaner_in; Stadtplaner/in"
"5395","Stadt zeigende Person"
"5396","Stadtführung; Reiseleitung; [ist das Buch / der Prospekt gemeint, muss nicht gegendert werden]"
"5397","Stadtoberhaupt"
"5398","Stadtoberhaupt; Verwaltungsleitung; Oberhaupt einer Kommune"
"5399","Stalinbewundernde Person; Stalinist*innen"
"5400","stalkende Person; belästigende Person; verfolgende Person;Stalker*innen"
"5401","stammelnde Person; unzusammenhängende sprechende Person;Stammler*innen"
"5402","Stammelterliche Person"
"5403","Startende Person; Person, die zu Beginn eines Rennens das Startzeichen gibt; an einem Wettkampf teilnehmende Person"
"5404","Statik prüfende Person"
"5405","Stationsärztin und Stationsarzt"
"5406","Statistiken erstellende Person"
"5407","Staufer*in; Angehörige Person der Staufer/Staufen"
"5408","Steighilfe; Raubleiter; Baumleiter; Dachlattentreppe"
"5409","Steilwandfahrende Person; Motorrad-Steilwandfahrende Person, die mit einem Motorrad an den senkrechten Wänden eines zylinderförmigen Raumes im Kreis fährt"
"5410","Stein bearbeitende Person"
"5411","Steine bearbeitende, behauende Person;Steinmetz*innen"
"5412","Steinewerfende; Steine werfende Personen"
"5413","Steirer*innen;Einwohnende Person der Steiermark; Person aus der Steiermark"
"5414","Stelle ausführende Person; Funktion bekleidende Person"
"5415","Stelle, die Fördermittel vergibt; fördermittelgebende Stelle/Institution"
"5416","Stelle, die Fördermittel vergibt; Person, die Fördermittel vergibt; fördernde Person"
"5417","Stellen für Mitarbeitende; Arbeitsplätze"
"5418","stellvertretende Person; nachrückende Person"
"5419","stellvertretende Person;Stellvertreter*innen"
"5420","Stellvertretung"
"5421","stenografierende Person;Stenograf*innen"
"5422","stenographierende Person;Stenograph*innen"
"5423","Stenokontorist*innen; Fachkraft/Qualifizierte der Stenografie"
"5424","sterbende Person"
"5425","Sterndeutende Person; Person, die sich mit Sternen/der Interpretation von Himmelskörpern befasst"
"5426","Steuerberatung; Steuerkanzlei; zu Steuern beratende Person; der steuerberatenden Berufe angehörige Person"
"5427","Steuerberatungspraxis"
"5428","Steuereintreibende Fachkraft; Steuern und Pflichtabgaben eintreibende Person; Zöllner*innen"
"5429","Steuerhinterziehende"
"5430","Steuern hinterziehende Person"
"5431","Steuern zahlende Person;Steuerzahler*innen"
"5432","steuernde, lenkende Person"
"5433","steuerschuldige Person; abgabenpflichtige Person"
"5434","steuerzahlende Person; steuerpflichtige Person"
"5435","stiefelterlich; achtlos; nachlässig; gleichgültig; lieblos"
"5436","Stierkämpfende Person;Stierkämper*in"
"5437","Stiftungsrat"
"5438","Stiftungsversammlung"
"5439","Stimme; Act"
"5440","Stimme; Text gesprochen von; Moderation; Kommentar; Ansage; sprechende Person"
"5441","Stimmen zählende Person; Stimmen zählendes Mitglied"
"5442","Stimmen; Chor; Choraktive; Personen, die singen; Gesangsgruppe; Singende"
"5443","Stockholmer*innen; Person aus Stockholm; in Stockholm lebende/wohnende Person"
"5444","Störende"
"5445","stotternde Person"
"5446","straffällige Person"
"5447","Strafrechtler*innen"
"5448","Strafrichter*innen;Fachkraft/Qualifizierte im Strafrecht; Rechtsprechung im Strafrecht; Strafrechtssprechende Person"
"5449","Strafverteidiger*innen"
"5450","Strahlenschutzexpertenperson; Fachkraft/Qualifizierte im Strahlenschutz"
"5451","Straßenbahn fahrende Person;Straßenbahnfahrer*innen"
"5452","Straßenbahn lenkende, fahrende Person"
"5453","Straßenbauingenieur*in; Straßenbauingenieur_in; Straßenbauingenieur/in; Spezialisierte/Qualifizierte im Straßenbauingenieurwesen"
"5454","Straßenbefragung"
"5455","Straßenmusikant*innen;Person, die Straßenmusik aufführt; auf der Straße musizierende Person"
"5456","strategisch agierende Person; planvoll handelnde Person"
"5457","Streamende"
"5458","Streit schlichtende Person"
"5459","Streit schlichtende Person; im Tarifkonflikt schlichtende Person;Schlichter*innen"
"5460","Streitkräfte im strengen Sinne nicht korrekt: auch zivile Angestellte, Beamt*innen und Auftragnehmende können Mitglieder der Streitkräfte sein"
"5461","Strichfigürchen; Strichmensch; Strichmenschlein"
"5462","strippende Person;Stripper*innen"
"5463","strippenziehende Person; andere für eigene Ziele einsetzende Person;Drahtzieher*innen"
"5464","Striptease tanzende Person"
"5465","Strohleute"
"5466","Strohmensch; Strohfigur"
"5467","Strom verbrauchende Person"
"5468","Stuckarbeiten ausführende Person;Stuckateuer*innen"
"5469","Studentenmeisterschaft; Studentenmeister*innen"
"5470","studentische Hilfskraft; Übungsgruppenleitung; Tutoriumsleitung"
"5471","studentische Stelle zur Anfertigung der Bachelorarbeit"
"5472","studentische Stelle zur Anfertigung der Masterarbeit"
"5473","Studi-Stadt; Universitätsstadt; Studierendenstadt; Hochschulstadt"
"5474","Studi; Mitglied der Studierenden"
"5475","Studienabbrechende"
"5476","Studienanfangende Person"
"5477","Studienbeginnende; ""Erstis""; Erstsemestrige"
"5478","Studienbewerbungen; Einschreibungen"
"5479","Studiendirektor*innen"
"5480","Studienkameradschaft; Freundschaftsperson beim Studium"
"5481","Studierende im ersten Semester; Ersti"
"5482","Studierende im Gaststudium"
"5483","Studierende mit Stipendium; Geförderte"
"5484","studierende Person, die in Semesterferien Geld verdient"
"5485","studierende Person; Hochschule besuchende Person;Studiker*in"
"5486","studierende Person;Student*innen"
"5487","Studierende; Studis"
"5488","Studierendenjob; Studijob; Job"
"5489","Studierendenwerk"
"5490","Studierendenwohnheim"
"5491","studierte Person im Bereich der Weinherstellung"
"5492","studierte Person im medizinischen Dienst; ärztliches Fachpersonal"
"5493","Studierte; Personen mit Hochschulabschluss"
"5494","Stuhlschiedsrichter*in"
"5495","stumme Rolle; Person ohne Sprechrolle; Nebenfigur"
"5496","Stuttgarter*innen; Person aus Stuttgart; in Stuttgart wohnende/lebende Person"
"5497","subjektorientiert; personorientiert; teilnehmendenorientiert; gruppenorientiert"
"5498","subskribierende Person;Subskribent*innen"
"5499","Subunternehmen"
"5500","Südamerikameisterschaft; Südamerikameister*innen"
"5501","Südamerikaner*innen"
"5502","Suderant*in; Person, die sich oft beklagt; sudernde Person"
"5503","Südländer*innen"
"5504","Südstaatler*innen; Person aus den Südstaaten"
"5505","Südtiroler*innen; Person aus Südtirol; in Südtirol lebende/wohnende Person"
"5506","Sumerer*innen; Person aus dem damaligen Sumer-Land"
"5507","Superheld*innen"
"5508","Supervidierende"
"5509","support; Förderung durch ...; unterstützendes Unternehmen; unterstützende Person"
"5510","Support; gefördert/unterstützt von..."
"5511","Support; gefördert/unterstützt von...; Vorstand; Repräsentanz"
"5512","support; Geldgebende; Förderung durch ...; Mitwirkende; Befürwortende"
"5513","surfende Person; Surfsport betreibende Person;Surfer*innen"
"5514","Swasiländer*innen"
"5515","sympathisierende Person"
"5516","synchron sprechende Person"
"5517","Systemadmin; Systemadministration"
"5518","Systembetreuung"
"5519","Tabakverschleißer*in"
"5520","tadelnde Person;Tadler*in"
"5521","Tag versüßende Personen; Ehrenamtliche; Zivilcourage leistende Personen"
"5522","Tagelohn erhaltende Person auf Gutshof"
"5523","Tageseltern"
"5524","Tagespflege(person); Tagesbetreuung; Kinderbetreuung; Tageselter laut Duden: der oder das Elter (Singular von Eltern)"
"5525","Taikonaut*innen; Mensch im Kosmos, Weltraumfahrender"
"5526","Tango tanzende Person;Tangotänzer*innen"
"5527","tanzende Person beim Ballett;Balletttänzer*innen"
"5528","tanzende Person;Tänzer*innen"
"5529","Tanzende; Tanzbegeisterte"
"5530","Tanzunterricht gebende Person; Tänze lehrende Person;Tanzlehrer*innen"
"5531","Tapezierer*innen"
"5532","Taschen, Börsen etc. herstellende Person;Feintäschner*innen"
"5533","Tatbegehende"
"5534","Täter*innen;Person, die eine Tat begeht; Person, die eine Tat begangen hat"
"5535","tätige Person im Forschungsgebiet der Binnengewässer"
"5536","Tauben züchtende Person;Taubenzüchter*innen"
"5537","tauchen lernende Person;Tauchschuüler*in; lernende in der Tauchschule"
"5538","Tauchende Person; tauchende Person, die für einen Tauchgang nur einen Atemzug und kein Atemgerät benötigt"
"5539","Tauchsport ausübende Person; tauchende Person"
"5540","Taufkind; getauft werdende Person; zu taufende Person  weitere Alternativen gesucht, insbesondere für den erwachsenen Täufling; senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"5541","Taufpate; Gevatter*innen"
"5542","Taxi chauffierende Person;Taxichauffeur*innen"
"5543","Taxi fahrende Person;Taxifahrer*innen"
"5544","Taxi lenkende Person;Taxilenker*innen"
"5545","Team; Gruppe; Kollektiv; Besatzung [bei Schiffen]"
"5546","teamfähige Person"
"5547","Teamleitung"
"5548","Teammitglied"
"5549","Teammitglied;  weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"5550","Teammitglieder"
"5551","Teammitglieder; Teambeteiligte (Personen)"
"5552","Teams, Gruppen"
"5553","Technikwissenschaften; technische Wissenschaften; Technik"
"5554","technische Anlagen bauende Person"
"5555","technische Fachkraft"
"5556","technische Objekte konstruierende Person; entwickelnde Person;Konstrukteur*innen"
"5557","Technologiefachkraft"
"5558","Tee trinkende Person"
"5559","teilhabende Person; in Partnerschaft lebende Person; mitwirkende Person; zusammen wirkende Person;Partner*innen"
"5560","Teilnahmegebühr; Kursgebühr; Kosten"
"5561","Teilnahmeliste; Anwesenheitsliste; Teilnehmendenliste"
"5562","Teilnahmezahl; Gruppengröße; Anmeldezahl"
"5563","teilnehmende Person einer Jury"
"5564","Teilnehmende; Beteiligte; alle, die an ... teilnehmen; Anwesende; Anmeldungen"
"5565","Teilnehmer*innen; teilnehmende Person"
"5566","telefonisch Verbindung mit anderen aufnehmende Person"
"5567","telefonische Beratung der Kundschaft"
"5568","Telemitarbeitende; Tele-Personal; Remote-Personal"
"5569","temperamentvolle Person; heitere Person; lebhafte Person;Sanguiniker*innen"
"5570","Tennis lehrende Person;Tennislehrer*innen"
"5571","tennispielende Person;Tennisspieler*in"
"5572","Teppich knüpfende Person;Teppichknüpfer*innen"
"5573","Teppiche handelnde Person"
"5574","Terrorisierende"
"5575","Terrorist*innen;terroristische Person; Person des Terrorismus"
"5576","Tertia besuchende Person"
"5577","Test durchführnde, Flugzeug lenkende Person"
"5578","Testende; Testpersonen"
"5579","Testfahrten durchführende Person"
"5580","Testleitung"
"5581","Testperson; Versuchsperson"
"5582","Testpersonen; Versuchspersonen; Teilnehmende"
"5583","Testphase; Probebetrieb"
"5584","Teufel anbetende Person;Teufelsanbeter*in"
"5585","Teufel austreibende Person;Teufelsaustreiber*in"
"5586","Texaner*innen; Person aus Texas; in Texas lebende/wohnende Person"
"5587","Text verfassende Person;schöpfende Person;Verfasser*innen"
"5588","textende Person;Texter*innen"
"5589","theaterpädagogische Fachkraft"
"5590","Theologie studierende Person"
"5591","Theologieprofessor*in; Theologieprofessor_in; Theologieprofessor/in"
"5592","theoretisch Arbeitende"
"5593","therapeutisches Fachpersonal"
"5594","Therapierende"
"5595","Thüringer*innen;thüringische Person; in Thüringen lebende Person; in Thüringen wohnende Person; aus Thüringen stammende Person; Person aus Thüringen; Einwohnende Person Thüringens"
"5596","Tibeter*innen; Person aus Tibet; in Tibet lebende/wohnende Person"
"5597","Tier"
"5598","Tier schützende Person;Tierschützer*innen"
"5599","Tiere haltende Person;Tierhalter*in"
"5600","Tiere liebhabende Person"
"5601","Tiere oder Pflanzen züchtende Person;Züchter*innen"
"5602","Tiere pflegende, betreuende Person;Tierpfleger*innen"
"5603","Tiere quälende Person"
"5604","tierhaltende Person"
"5605","Tierhäute und Tierfelle gerbende Person"
"5606","tierjagende Person; Jäger*innen"
"5607","tiermedizinisches Fachpersonal"
"5608","Tierschützende"
"5609","Tierzüchtende Person; Person, die Tiere züchtet; Person, die eine Tierzucht betreibt"
"5610","Tiroler*innen; Person aus Tirol; in Tirol lebende/wohnende Person"
"5611","Tisch/Pult der Lehrkraft; Schreibtisch"
"5612","tischtennisspielende Person;Tischtennisspieler*in"
"5613","Titelkandidat*in; Titelkandidierende Person"
"5614","Titelperson einer Zeitung"
"5615","todgeweihte Person"
"5616","Tokioter*innen; Person aus Tokio; in Tokio lebende/wohnende Person"
"5617","Toledaner*innen; Person aus Toledo; in Toledo lebende/wohnende Person"
"5618","tontechnische Fachkraft"
"5619","Töpfer*innen;Töpfernde Person; Keramik herstellende Person; Ton/Lehm formende Person"
"5620","töpfernde Person; Kachelofensetzende Person;Hafner*innen"
"5621","töpfernde Person; Kachelofensetzende Person;Häfner*innen"
"5622","töpfernder Mensch"
"5623","Tor schießende Person"
"5624","Torf stechende Person;Torfstecher*in"
"5625","Torhütende ersetzende Person"
"5626","torhütende Person"
